GRU_units,dropout1,dropout2,filters,kernel_size,pool_size,strides,MAPE
32,0.1,0.05,32,2,1,2,7.1077429780141115
32,0.1,0.05,32,2,2,1,8.88706088247554
32,0.1,0.05,32,2,2,2,5.997704441855115
32,0.1,0.05,32,3,1,1,10.311739245399371
32,0.1,0.05,32,3,1,2,7.695545672710064
32,0.1,0.05,32,3,2,1,6.457972655695267
32,0.1,0.05,32,3,2,2,15.170453786904654
32,0.1,0.05,64,2,1,1,13.93830973511906
32,0.1,0.05,64,2,1,2,11.495289448107352
32,0.1,0.05,64,2,2,1,7.0282289192847704
32,0.1,0.05,64,2,2,2,13.510901317345288
32,0.1,0.05,64,3,1,1,11.308983759835591
32,0.1,0.05,64,3,1,2,6.476421994671902
32,0.1,0.05,64,3,2,1,11.414297885535635
32,0.1,0.05,64,3,2,2,15.89578373127154
32,0.1,0.1,16,2,1,1,10.724854763043894
32,0.1,0.1,16,2,1,2,10.768097211741368
32,0.1,0.1,16,2,2,1,10.065247669949024
32,0.1,0.1,16,2,2,2,18.927423146628815
32,0.1,0.1,16,3,1,1,5.975961056662649
32,0.1,0.1,16,3,1,2,11.913573075718228
32,0.1,0.1,16,3,2,1,11.617160787211574
32,0.1,0.1,16,3,2,2,14.566713365128969
32,0.1,0.1,32,2,1,1,18.877949207401187
32,0.1,0.1,32,2,1,2,4.808846825320929
32,0.1,0.1,32,2,2,1,14.53855202068856
32,0.1,0.1,32,2,2,2,7.383227146930375
32,0.1,0.1,32,3,1,1,6.178244835743145
32,0.1,0.1,32,3,1,2,4.553638146195332
32,0.1,0.1,32,3,2,1,13.41611043532552
32,0.1,0.1,32,3,2,2,6.03506438355224
32,0.1,0.1,64,2,1,1,9.077969408827512
32,0.1,0.1,64,2,1,2,5.885066455909622
32,0.1,0.1,64,2,2,1,9.915635895036251
32,0.1,0.1,64,2,2,2,12.585597622774277
32,0.1,0.1,64,3,1,1,14.18431508944114
32,0.1,0.1,64,3,1,2,20.30094715604757
32,0.1,0.1,64,3,2,1,12.088476290055889
32,0.1,0.1,64,3,2,2,8.090934005544343
32,0.1,0.15,16,2,1,1,24.747714139374967
32,0.1,0.15,16,2,1,2,16.292093475427684
32,0.1,0.15,16,2,2,1,9.649136827926148
32,0.1,0.15,16,2,2,2,6.3366232326328165
32,0.1,0.15,16,3,1,1,11.364150013035722
32,0.1,0.15,16,3,1,2,15.058194962391036
32,0.1,0.15,16,3,2,1,11.02099318200374
32,0.1,0.15,16,3,2,2,20.98401179132154
32,0.1,0.15,32,2,1,1,10.119446664432958
32,0.1,0.15,32,2,1,2,17.725577288940283
32,0.1,0.15,32,2,2,1,10.39420349979824
32,0.1,0.15,32,2,2,2,17.723024675829063
32,0.1,0.15,32,3,1,1,6.778739195257623
32,0.1,0.15,32,3,1,2,14.540808597053983
32,0.1,0.15,32,3,2,1,7.401223206987237
32,0.1,0.15,32,3,2,2,7.802213399523072
32,0.1,0.15,64,2,1,1,13.933275231718254
32,0.1,0.15,64,2,1,2,11.420017375425386
32,0.1,0.15,64,2,2,1,9.05440051909341
32,0.1,0.15,64,2,2,2,6.028750530882985
32,0.1,0.15,64,3,1,1,8.564218474802816
32,0.1,0.15,64,3,1,2,10.81171337410545
32,0.1,0.15,64,3,2,1,17.56036474499785
32,0.1,0.15,64,3,2,2,10.68678810134414
32,0.1,0.3,16,2,1,1,6.637104173509025
32,0.1,0.3,16,2,1,2,11.33480274015559
32,0.1,0.3,16,2,2,1,11.85289806195509
32,0.1,0.3,16,2,2,2,9.953577874729207
32,0.1,0.3,16,3,1,1,7.061537874498488
32,0.1,0.3,16,3,1,2,17.64420532621129
32,0.1,0.3,16,3,2,1,5.326884705990692
32,0.1,0.3,16,3,2,2,17.882457065415405
32,0.1,0.3,32,2,1,1,4.9742940073316175
32,0.1,0.3,32,2,1,2,8.901951249087018
32,0.1,0.3,32,2,2,1,8.605924817768123
32,0.1,0.3,32,2,2,2,6.25446892870157
32,0.1,0.3,32,3,1,1,5.23910920807293
32,0.05,0.05,16,2,1,1,4.226659560817007
32,0.05,0.05,16,2,1,2,5.395178142929935
32,0.05,0.05,16,2,2,1,6.0927401758088955
32,0.05,0.05,16,2,2,2,7.479349045878711
32,0.05,0.05,16,3,1,1,4.614237138719569
32,0.05,0.05,16,3,1,2,7.076750141669426
32,0.05,0.05,16,3,2,1,7.964818517208242
32,0.05,0.05,16,3,2,2,8.682950878558486
32,0.05,0.05,32,2,1,1,10.139998437976399
32,0.05,0.05,32,2,1,2,13.789607960713706
32,0.05,0.05,32,2,2,1,4.579829900015588
32,0.05,0.05,32,2,2,2,6.907160985113764
32,0.05,0.05,32,3,1,1,23.896259321322784
32,0.05,0.05,32,3,1,2,10.006485196832438
32,0.05,0.05,32,3,2,1,4.611700119248517
32,0.05,0.05,32,3,2,2,5.174509942367489
32,0.05,0.05,64,2,1,1,5.075224082569498
32,0.05,0.05,64,2,1,2,9.448826848951189
32,0.05,0.05,64,2,2,1,10.729021190526542
32,0.05,0.05,64,2,2,2,9.885247397711709
32,0.05,0.05,64,3,1,1,14.092327213947694
32,0.05,0.05,64,3,1,2,15.548354422200614
32,0.05,0.05,64,3,2,1,4.0552310315486295
32,0.05,0.05,64,3,2,2,8.574356405909091
32,0.05,0.1,16,2,1,1,18.35530949318915
32,0.05,0.1,16,2,1,2,13.085436602700664
32,0.05,0.1,16,2,2,1,20.774504869137058
32,0.05,0.1,16,2,2,2,6.674276412289079
32,0.05,0.1,16,3,1,1,11.663706996235437
32,0.05,0.1,16,3,1,2,21.30735820901919
32,0.05,0.1,16,3,2,1,5.861889623065104
32,0.05,0.1,16,3,2,2,7.1832514782622825
32,0.05,0.1,32,2,1,1,15.462918880911552
32,0.05,0.1,32,2,1,2,4.353999937603719
32,0.05,0.1,32,2,2,1,7.400484417165511
32,0.05,0.1,32,2,2,2,7.6455988449580055
32,0.05,0.1,32,3,1,1,14.27458972709244
32,0.05,0.1,32,3,1,2,10.88434921114328
32,0.05,0.1,32,3,2,1,5.33230947898571
32,0.05,0.1,32,3,2,2,6.151991082211812
32,0.05,0.1,64,2,1,1,9.387074091029051
32,0.05,0.1,64,2,1,2,14.732370828575847
32,0.05,0.1,64,2,2,1,6.6858534631195194
32,0.05,0.1,64,2,2,2,13.691889816401591
32,0.05,0.1,64,3,1,1,11.167184541060013
32,0.05,0.1,64,3,1,2,11.251885769806472
32,0.05,0.1,64,3,2,1,4.0441764523232315
32,0.05,0.1,64,3,2,2,5.070537392162895
32,0.05,0.15,16,2,1,1,4.419768301259415
32,0.05,0.15,16,2,1,2,10.70111005171074
32,0.05,0.15,16,2,2,1,12.928762595900595
32,0.05,0.15,16,2,2,2,6.601919062950655
32,0.05,0.15,16,3,1,1,4.135365157739252
32,0.05,0.15,16,3,1,2,12.004790187751878
32,0.05,0.15,16,3,2,1,13.618969476863786
32,0.05,0.15,16,3,2,2,6.628374575229142
32,0.05,0.15,32,2,1,1,9.947566644210939
32,0.05,0.15,32,2,1,2,10.523732468259585
32,0.05,0.15,32,2,2,1,5.700359518892277
32,0.05,0.15,32,2,2,2,22.89859775195332
32,0.05,0.15,32,3,1,1,4.376006529642237
32,0.05,0.15,32,3,1,2,12.509360630730516
32,0.05,0.15,32,3,2,1,10.521108817039291
32,0.05,0.15,32,3,2,2,7.9520781069126025
32,0.05,0.15,64,2,1,1,11.132355613049674
32,0.05,0.15,64,2,1,2,4.722864242368272
32,0.05,0.15,64,2,2,1,6.090102273863765
32,0.05,0.15,64,2,2,2,5.751713560707929
32,0.05,0.15,64,3,1,1,6.345539273783196
32,0.05,0.15,64,3,1,2,5.147760069155419
32,0.05,0.15,64,3,2,1,9.262574558711027
32,0.05,0.15,64,3,2,2,11.265551880561988
32,0.05,0.3,16,2,1,1,4.581748263265246
32,0.05,0.3,16,2,1,2,5.924491204612987
32,0.05,0.3,16,2,2,1,6.615927844961133
32,0.05,0.3,16,2,2,2,12.033396928313746
32,0.05,0.3,16,3,1,1,5.233228177621194
32,0.05,0.3,16,3,1,2,5.837211984959891
32,0.05,0.3,16,3,2,1,4.43342886998048
32,0.05,0.3,16,3,2,2,6.427532131587868
32,0.05,0.3,32,2,1,1,6.902157536239338
32,0.05,0.3,32,2,1,2,4.105652009278011
32,0.05,0.3,32,2,2,1,4.984232341335042
